"Plot","Forest","PlotSurface","AGBdead","AGBext","AGBdam","AGB0","RatioDam"
"chb 1","chb",1,77.5873692421474,17.8175063805745,59.7698628615729,294.796663497548,0.215791915477347
"chb 2","chb",1,8.43842523563998,1.29687390533538,7.1415513303046,229.741602798841,0.0312616157304018
"chb 3","chb",1,23.2272318746681,1.31807628359527,21.9091555910728,278.149766933108,0.0791425126930688
"chb 5","chb",1,45.8018215452338,13.9673637565865,31.8344577886473,335.266830990357,0.0990803317002863
"chb 7","chb",1,41.6663984224809,11.0218992630299,30.644499159451,203.676165382529,0.159064731743044
"cum 2","cum",1,33.7597567441432,2.89372820030763,30.8660285438356,237.038136902957,0.131824751719926
"cum 3","cum",1,161.11450944565,38.3765126666948,122.737996778955,397.127451884946,0.342125924593845
"cum 4","cum",1,90.0861232519852,21.7485511935589,68.3375720584262,257.414677109182,0.289976218656446
"cum 6","cum",1,43.0591324426438,6.86939338697913,36.1897390556647,235.098032463568,0.158567913308724
"inp 1N","inp",4,94.7473626582653,44.7941375185409,49.9532251397244,485.158321912644,0.113436166949987
"inp 2N","inp",4,76.229367411698,27.5560141964713,48.6733532152267,480.122651591319,0.107549583184942
"ira 10","ira",1,97.932501892091,19.6521642140246,78.2803376780664,222.599214024454,0.385718037050487
"ira 11","ira",1,51.0614910016022,2.91260514044446,48.1488858611577,148.408140039709,0.330930333322559
"ira 13","ira",1,67.7419750641209,7.89683197766819,59.8451430864527,201.891556591406,0.30848850764169
"ira 14","ira",1,61.6398627628378,7.64878077845016,53.9910819843876,203.670927254606,0.275433582148612
"ira 15","ira",1,52.391372016963,5.1963476871672,47.1950243297958,193.371924334757,0.250803133810406
"ira 16","ira",1,56.5559233904468,7.41831303758425,49.1376103528625,205.833714686462,0.247650182115489
"ira 17","ira",1,63.9670852812381,10.5242334205915,53.4428518606466,201.269587596756,0.280179048614148
"ira 18","ira",1,43.3073813827152,2.94896770139804,40.3584136813172,215.357526829344,0.190003707228233
"ira 19","ira",1,77.0371557004439,1.00705658664714,76.0300991137968,251.182998443596,0.303906516947465
"ira 2","ira",1,63.2840427785522,4.53097936573705,58.7530634128151,249.085001671691,0.240245745536383
"ira 20","ira",1,38.5508741584094,5.66439751477123,32.8864766436382,190.916964099409,0.177522380660854
